name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Netflix,netflix|netflix.com,eightfold,60,medium,1,enterprise eightfold board (verified 518)
Bayer,bayer|bayer.com,eightfold,60,medium,1,enterprise eightfold board (verified 744)
Sitecore,sitecore,jobvite,40,medium,1,jobvite verified
LoanDepot,loandepot,jobvite,40,medium,1,jobvite verified
Samtec,samtec,jobvite,40,medium,1,jobvite verified
ActioNet,actionet,jobvite,40,medium,1,jobvite verified
Sikich,sikichcareers,jobvite,40,medium,1,jobvite verified
YC Work at a Startup,yc_waas,yc_waas,40,medium,1,sentinel - YC Work at a Startup
Remotive Remote,remotive,remotive,40,medium,1,sentinel - Remotive remote board
